"rank","property_id","address","latitude","longitude","price","currency","bathrooms","bedrooms","area","land_area","zestimate","rent_zestimate","days_on_zillow","sold_date","is_zillow_owned","image","listing_type","broker_name","input","property_url","listing_url"
"58","72525555","324 E 50th St APT 1B, New York, NY 10022","40.754284","-73.967694","575000.0","USD","1.0","1.0","650.0 sqft","","453275","2700","0","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","Compass","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/324-E-50th-St-APT-1B-New-York-NY-10022/72525555_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:2%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"27","2075699178","33-24 99th St, Corona, NY 11368","40.7563","-73.869617","1050000.0","USD","3.0","6.0","","","","","0","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Multi-family home for sale","Chous Realty Group Inc","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/33-24-99th-St-Corona-NY-11368/2075699178_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"88","2075768042","430 Beach 43rd St LOT 20 & 21, Far Rockaway, NY 11691","40.596784","-73.77462","250000.0","USD","","","","4,000 sqft","","","1","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Lot / Land for sale","ERA/Top Service Realty Inc","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/430-Beach-43rd-St-LOT-20-21-Far-Rockaway-NY-11691/2075768042_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:3%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"84","2075747895","67-96 223rd Pl #B, Oakland Gardens, NY 11364","40.74566","-73.75348","375000.0","USD","1.0","2.0","","","","","1","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","Exit Realty Achieve","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/67-96-223rd-Pl-B-Oakland-Gardens-NY-11364/2075747895_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:3%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"196","2075779688","244-30 Horace Harding Expy #2, Little Neck, NY 11362","40.759517","-73.733974","339888.0","USD","1.0","3.0","1100.0 sqft","","","","1","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","Keller Williams Realty of Greater Nassau","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/244-30-Horace-Harding-Expy-2-Little-Neck-NY-11362/2075779688_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:5%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"98","32162592","22120 105th Ave, Jamaica, NY 11429","40.71023","-73.733166","665000.0","USD","3.0","3.0","","","558339","2400","1","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","House for sale","HomeSmart Premier Living Rlty","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/22120-105th-Ave-Jamaica-NY-11429/32162592_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:3%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"7","32052519","5351 193rd St, Flushing, NY 11365","40.745415","-73.784479","1868800.0","USD","2.0","6.0","","","1743737","2400","0","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Multi-family home for sale","Sany Realty Group LLC","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/5351-193rd-St-Flushing-NY-11365/32052519_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"35","2075699794","1 Manhattan Sq #48F, New York, NY 10002","40.710201","-73.989303","1480000.0","USD","1.0","1.0","695.0 sqft","","","","0","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","Redac, Inc.","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/1-Manhattan-Sq-48F-New-York-NY-10002/2075699794_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"128","31529689","240 E 47th St APT 31A, New York, NY 10017","40.753418","-73.971292","1000000.0","USD","1.0","1.0","759.0 sqft","","895075","3000","1","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","East Riverview, Inc","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/240-E-47th-St-APT-31A-New-York-NY-10017/31529689_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:4%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"137","2096940977","237 Devoe St APT 2, Brooklyn, NY 11211","40.714152","-73.940361","1125000.0","USD","2.0","1.0","987.0 sqft","","769656","3395","1","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","Corcoran","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/237-Devoe-St-APT-2-Brooklyn-NY-11211/2096940977_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:4%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"186","29815511","1725 Edison Ave APT 2C, Bronx, NY 10461","40.84617","-73.832849","168000.0","USD","1.0","1.0","","","159649","1600","1","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","Winzone Realty Inc","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/1725-Edison-Ave-APT-2C-Bronx-NY-10461/29815511_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:5%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"15","2075698008","216-37 68th Ave #2, Oakland Gardens, NY 11364","40.743801","-73.758598","319999.0","USD","1.0","2.0","","","","","0","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","Winzone Realty Inc","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/216-37-68th-Ave-2-Oakland-Gardens-NY-11364/2075698008_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"12","2075698007","123-35 82nd Rd APT 7L, Kew Gardens, NY 11415","40.712177","-73.827727","335000.0","USD","1.0","2.0","950.0 sqft","","","","0","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","Madison Realty Sales & Rentals, Inc.","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/123-35-82nd-Rd-APT-7L-Kew-Gardens-NY-11415/2075698007_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"63","2075709170","100-06 88th Ave, Richmond Hill, NY 11418","40.693202","-73.845772","789000.0","USD","3.0","5.0","2000.0 sqft","","","","0","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Multi-family home for sale","Parkside Realty of Queens Inc","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/100-06-88th-Ave-Richmond-Hill-NY-11418/2075709170_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:2%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"160","244841762","750 Park Ave APT 4-B, New York, NY 10021","40.770981","-73.964306","1950000.0","USD","2.0","1.0","800.0 sqft","","1916476","3000","1","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","Corcoran","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/750-Park-Ave-APT-4-B-New-York-NY-10021/244841762_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:4%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"42","112114244","164 El Camino Loop, Staten Island, NY 10309","40.535612","-74.212547","839000.0","USD","5.0","5.0","2600.0 sqft","","","1500","0","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Multi-family home for sale","Barbara A. Smith","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/164-El-Camino-Loop-Staten-Island-NY-10309/112114244_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:2%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"78","2075752888","200-07 32nd Ave, Bayside, NY 11361","40.770019","-73.78908","1250000.0","USD","3.0","3.0","","","","","1","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","House for sale","Compass Greater NY LLC","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/200-07-32nd-Ave-Bayside-NY-11361/2075752888_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:2%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
"136","2075774457","917 Saint Marks Ave APT 1, Brooklyn, NY 11213","40.674962","-73.941132","995000.0","USD","2.0","2.0","2157.0 sqft","","","","1","","False","https://www.zillowstatic.com/static/images/nophoto_p_f.png","Condo for sale","Compass","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22New%20York%2C%20NY%22%2C%22mapBounds%22%3A%7B%22west%22%3A-74.56160518164063%2C%22east%22%3A-73.39430781835938%2C%22south%22%3A40.411158431777174%2C%22north%22%3A40.9993492035743%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6181%2C%22regionType%22%3A6%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D","https://www.zillow.com/homedetails/917-Saint-Marks-Ave-APT-1-Brooklyn-NY-11213/2075774457_zpid/","https://www.zillow.com/new-york-ny/?searchQueryState=%7B%22pagination%22:%7B%22currentPage%22:4%7D,%22usersSearchTerm%22:%22New%20York,%20NY%22,%22mapBounds%22:%7B%22west%22:-74.56160518164063,%22east%22:-73.39430781835938,%22south%22:40.411158431777174,%22north%22:40.9993492035743%7D,%22regionSelection%22:%5B%7B%22regionId%22:6181,%22regionType%22:6%7D%5D,%22isMapVisible%22:true,%22filterState%22:%7B%22ah%22:%7B%22value%22:true%7D%7D,%22isListVisible%22:true%7D"
